숙소 링크,평점,후기 개수,이미지 파일
https://www.airbnb.co.kr/rooms/1240338644607018058?search_mode=regular_search&adults=1&check_in=2025-04-14&check_out=2025-04-19&children=0&infants=0&pets=0&source_impression_id=p3_1744545807_P3AEQ7tCmtXDD21g&previous_page_section_name=1000&federated_search_id=a527f0b5-191c-4a53-b4f7-52d7493b651d,4.62,13.0,airbnb_images\숙소_58.jpg
https://www.airbnb.co.kr/rooms/805362983161258265?search_mode=regular_search&adults=1&check_in=2025-07-03&check_out=2025-07-08&children=0&infants=0&pets=0&source_impression_id=p3_1744545807_P3Kr6BeYJF1zvON8&previous_page_section_name=1000&federated_search_id=a527f0b5-191c-4a53-b4f7-52d7493b651d,4.96,107.0,airbnb_images\숙소_59.jpg
https://www.airbnb.co.kr/rooms/1323638995186407151?search_mode=regular_search&adults=1&check_in=2025-06-27&check_out=2025-07-02&children=0&infants=0&pets=0&source_impression_id=p3_1744545807_P3oUmhy_nt5rvkiN&previous_page_section_name=1000&federated_search_id=a527f0b5-191c-4a53-b4f7-52d7493b651d,4.96,24.0,airbnb_images\숙소_60.jpg
https://www.airbnb.co.kr/rooms/1030214080127699635?search_mode=regular_search&adults=1&check_in=2025-04-28&check_out=2025-05-03&children=0&infants=0&pets=0&source_impression_id=p3_1744545807_P3QBqKTbfPF5qgdj&previous_page_section_name=1000&federated_search_id=a527f0b5-191c-4a53-b4f7-52d7493b651d,4.98,60.0,airbnb_images\숙소_61.jpg
https://www.airbnb.co.kr/rooms/1359155997976993894?search_mode=regular_search&adults=1&check_in=2025-05-11&check_out=2025-05-16&children=0&infants=0&pets=0&source_impression_id=p3_1744545807_P31Yu-okuhDzyJ3H&previous_page_section_name=1000&federated_search_id=a527f0b5-191c-4a53-b4f7-52d7493b651d,5.0,5.0,airbnb_images\숙소_62.jpg
https://www.airbnb.co.kr/rooms/1086956392538351562?search_mode=regular_search&adults=1&check_in=2026-03-01&check_out=2026-03-06&children=0&infants=0&pets=0&source_impression_id=p3_1744545807_P3Lth0I2Jah9M3VY&previous_page_section_name=1000&federated_search_id=a527f0b5-191c-4a53-b4f7-52d7493b651d,4.96,69.0,airbnb_images\숙소_63.jpg
https://www.airbnb.co.kr/rooms/563329291341360940?search_mode=regular_search&adults=1&check_in=2025-04-27&check_out=2025-05-02&children=0&infants=0&pets=0&source_impression_id=p3_1744545807_P3CcOBe7cbyMWWQ4&previous_page_section_name=1000&federated_search_id=a527f0b5-191c-4a53-b4f7-52d7493b651d,4.86,131.0,airbnb_images\숙소_64.jpg
https://www.airbnb.co.kr/rooms/980156834935671807?search_mode=regular_search&adults=1&check_in=2025-06-03&check_out=2025-06-08&children=0&infants=0&pets=0&source_impression_id=p3_1744545807_P34KmsDVMAL_biJQ&previous_page_section_name=1000&federated_search_id=a527f0b5-191c-4a53-b4f7-52d7493b651d,5.0,12.0,airbnb_images\숙소_65.jpg
https://www.airbnb.co.kr/rooms/844775007296398773?search_mode=regular_search&adults=1&check_in=2025-05-19&check_out=2025-05-24&children=0&infants=0&pets=0&source_impression_id=p3_1744545807_P37BITWiHqAe0UAf&previous_page_section_name=1000&federated_search_id=a527f0b5-191c-4a53-b4f7-52d7493b651d,4.88,147.0,airbnb_images\숙소_66.jpg
https://www.airbnb.co.kr/rooms/1366191594253398649?search_mode=regular_search&adults=1&check_in=2025-06-23&check_out=2025-06-28&children=0&infants=0&pets=0&source_impression_id=p3_1744545807_P3RmZ_z7UM256v-V&previous_page_section_name=1000&federated_search_id=a527f0b5-191c-4a53-b4f7-52d7493b651d,,2.0,airbnb_images\숙소_67.jpg
